-rw-r--r-- 1 root root 68818 Jun 8 16:29 var/log/dpkg.log

2016-06-08 16:28:30 status half-configured base-files:amd64 8+deb8u5
2016-06-08 16:28:30 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:30 status half-installed base-files:amd64 8+deb8u5
2016-06-08 16:28:30 status half-installed base-files:amd64 8+deb8u5
2016-06-08 16:28:31 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:31 status unpacked base-files:amd64 8+deb8u5
2016-06-08 16:28:31 upgrade base-passwd:amd64 3.5.37 3.5.37
2016-06-08 16:28:31 status half-configured base-passwd:amd64 3.5.37
2016-06-08 16:28:31 status unpacked base-passwd:amd64 3.5.37
2016-06-08 16:28:31 status half-installed base-passwd:amd64 3.5.37
2016-06-08 16:28:31 status half-installed base-passwd:amd64 3.5.37
2016-06-08 16:28:31 status unpacked base-passwd:amd64 3.5.37
2016-06-08 16:28:31 status unpacked base-passwd:amd64 3.5.37
2016-06-08 16:28:31 install bash:amd64 <none> 4.3-11+b1
2016-06-08 16:28:31 status half-installed bash:amd64 4.3-11+b1
2016-06-08 16:28:31 status unpacked bash:amd64 4.3-11+b1
2016-06-08 16:28:31 status unpacked bash:amd64 4.3-11+b1
2016-06-08 16:28:31 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2016-06-08 16:28:31 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2016-06-08 16:28:32 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2016-06-08 16:28:32 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2016-06-08 16:28:32 install libdebconfclient0:amd64 <none> 0.192
2016-06-08 16:28:32 status half-installed libdebconfclient0:amd64 0.192
2016-06-08 16:28:32 status unpacked libdebconfclient0:amd64 0.192
2016-06-08 16:28:32 status unpacked libdebconfclient0:amd64 0.192
2016-06-08 16:28:32 install coreutils:amd64 <none> 8.23-4
2016-06-08 16:28:32 status half-installed coreutils:amd64 8.23-4
2016-06-08 16:28:32 status unpacked coreutils:amd64 8.23-4
2016-06-08 16:28:32 status unpacked coreutils:amd64 8.23-4
2016-06-08 16:28:33 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2016-06-08 16:28:33 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2016-06-08 16:28:33 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2016-06-08 16:28:33 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2016-06-08 16:28:33 install dash:amd64 <none> 0.5.7-4+b1
2016-06-08 16:28:33 status half-installed dash:amd64 0.5.7-4+b1
2016-06-08 16:28:33 status unpacked dash:amd64 0.5.7-4+b1
2016-06-08 16:28:33 status unpacked dash:amd64 0.5.7-4+b1
2016-06-08 16:28:33 install libdb5.3:amd64 <none> 5.3.28-9
2016-06-08 16:28:33 status half-installed libdb5.3:amd64 5.3.28-9
2016-06-08 16:28:33 status unpacked libdb5.3:amd64 5.3.28-9
2016-06-08 16:28:34 status unpacked libdb5.3:amd64 5.3.28-9
2016-06-08 16:28:34 install debconf:all <none> 1.5.56
2016-06-08 16:28:34 status half-installed debconf:all 1.5.56
2016-06-08 16:28:34 status unpacked debconf:all 1.5.56
2016-06-08 16:28:34 status unpacked debconf:all 1.5.56
2016-06-08 16:28:34 install debconf-i18n:all <none> 1.5.56
2016-06-08 16:28:34 status half-installed debconf-i18n:all 1.5.56
2016-06-08 16:28:34 status unpacked debconf-i18n:all 1.5.56
2016-06-08 16:28:34 status unpacked debconf-i18n:all 1.5.56
2016-06-08 16:28:34 install debianutils:amd64 <none> 4.4+b1
2016-06-08 16:28:34 status half-installed debianutils:amd64 4.4+b1
2016-06-08 16:28:34 status unpacked debianutils:amd64 4.4+b1
2016-06-08 16:28:34 status unpacked debianutils:amd64 4.4+b1
2016-06-08 16:28:34 install diffutils:amd64 <none> 1:3.3-1+b1
2016-06-08 16:28:34 status half-installed diffutils:amd64 1:3.3-1+b1
2016-06-08 16:28:35 status unpacked diffutils:amd64 1:3.3-1+b1
2016-06-08 16:28:35 status unpacked diffutils:amd64 1:3.3-1+b1
2016-06-08 16:28:35 upgrade dpkg:amd64 1.17.27 1.17.27
2016-06-08 16:28:35 status half-configured dpkg:amd64 1.17.27
2016-06-08 16:28:35 status unpacked dpkg:amd64 1.17.27
2016-06-08 16:28:35 status half-installed dpkg:amd64 1.17.27
2016-06-08 16:28:35 status half-installed dpkg:amd64 1.17.27
2016-06-08 16:28:35 status unpacked dpkg:amd64 1.17.27
2016-06-08 16:28:35 status unpacked dpkg:amd64 1.17.27
2016-06-08 16:28:35 install e2fslibs:amd64 <none> 1.42.12-1.1
